Zillow Listings Comparison with Roommates,,,,,,,,,,,,,,,,,,,,,,,
Rank,Rating,Address,City,Monthly Rent,Est. Rent Per Person (3),Beds,Baths,Sq Ft,Property Type,Parking,Laundry,AC,Renovated,Avg. Commute to Work (min),Neighborhood,Safety,Roommate 1,Roommate 2,Roommate 3,Avg Score,Pros,Cons,Notes
1,90%,905 Juniper St NE,Atlanta,3000,1000,3,2,1500,Condo,Garage,In-unit,Yes,Yes,12,Midtown,Yes,9,9,9,9,Best location,High rent,Top choice
2,87%,1105 W Peachtree St NW,Atlanta,3000,1000,3,2,1450,Apartment,Garage,In-unit,Yes,Yes,15,Midtown,Yes,9,9,8,8.7,"New, walkable",Smaller rooms,Near Marta
3,80%,390 17th St NW,Atlanta,2700,900,3,2,1350,Apartment,Garage,In-unit,Yes,Yes,20,Atlantic Station,Yes,8,8,8,8,Shops nearby,Parking fee,Walkable
4,83%,880 Glenwood Ave SE,Atlanta,2800,933,3,2,1400,Townhome,Garage,In-unit,Yes,Yes,16,Grant Park,Yes,9,8,8,8.3,Safe,Smaller kitchen,Nice neighborhood
5,83%,1660 Peachtree St NW,Atlanta,2850,950,3,2,1400,Condo,Garage,In-unit,Yes,Yes,18,Buckhead,Yes,8,9,8,8.3,Spacious,Older building,Quiet area
6,83%,660 Glen Iris Dr NE,Atlanta,2950,983,3,2,1420,Apartment,Garage,In-unit,Yes,Yes,14,Old Fourth Ward,Yes,8,8,9,8.3,BeltLine,Limited parking,Popular area
7,73%,120 Ralph McGill Blvd NE,Atlanta,2600,867,3,2,1380,Condo,Garage,In-unit,Yes,Yes,17,Downtown,Medium,7,8,7,7.3,Central,Traffic,Good amenities
8,70%,270 17th St NW,Atlanta,2500,833,3,2,1320,Apartment,Surface,In-unit,Yes,No,21,Midtown,Medium,7,7,7,7,Cheap,Older,Limited amenities
9,77%,1000 Lenox Park Blvd NE,Brookhaven,2550,850,3,2,1500,Townhome,Garage,In-unit,Yes,Yes,22,Brookhaven,Yes,7,8,8,7.7,Quiet,Farther commute,Larger layout
10,70%,2000 Cheshire Bridge Rd NE,Atlanta,2400,800,3,2,1300,Apartment,Surface,In-unit,Yes,Partial,25,Lindbergh,Medium,7,7,7,7,Affordable,Older,Busy road
,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,,,,,,,,,,,,,,,,,,,,,,,
"The property listings, pricing information, ratings, and roommate evaluations presented in this spreadsheet are mock data created for research and demonstration purposes. These entries are representative of typical rental listings in the Metro Atlanta area but do not correspond to specific real properties or actual individuals. Any addresses, pricing, or descriptive details are illustrative and have been modified or synthesized to preserve privacy. This mock dataset was used to demonstrate the comparison workflow and support analysis of collaborative rental decision-making without exposing personal search history or identifiable information.",,,,,,,,,,,,,,,,,,,,,,,
